Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
AMC.N,AMC Entertainment Holdings Inc,New York Stock Exchange,"2,329,698,105.18",18/12/2013,AMC,AMC,2.61
AMCX.OQ,AMC Global Media Inc.,Nasdaq Stock Exchange Global Select Market,"524,287,131.41",16/06/2011,AMCX,AMCX,12.71
DOX.OQ,Amdocs Limited,Nasdaq Stock Exchange Global Select Market,"6,499,833,750.00",19/06/1998,DOX,DOX,62.25
AEE.N,Ameren Corporation,New York Stock Exchange,"29,829,860,295.25",15/12/1952,AEE,AEE,107.75
AMRC.N,Ameresco Inc,New York Stock Exchange,"1,175,947,235.76",22/07/2010,AMRC,AMRC,22.16
CRMT.OQ,America's CAR-MART Inc,Nasdaq Stock Exchange Global Select Market,"19,146,319.53",13/03/1987,CRMT,CRMT,2.21
AAL.OQ,American Airlines Group Inc.,Nasdaq Stock Exchange Global Select Market,"9,161,664,121.84",09/12/2013,AAL,AAL,13.84
AAT.N,"American Assets Trust, Inc.",New York Stock Exchange,"1,396,331,803.62",13/01/2011,AAT,AAT,22.74
AEO.N,"American Eagle Outfitters, Inc.",New York Stock Exchange,"2,947,614,927.47",13/04/1994,AEO,AEO,17.59
AEP.OQ,American Electric Power Company Inc,Nasdaq Stock Exchange Global Select Market,"67,156,857,342.72",01/09/1949,AEP,AEP,123.36
AXP.N,American Express Company,New York Stock Exchange,"227,005,400,362.95",18/05/1977,AXP,AXP,336.15
AFG.N,"American Financial Group, Inc.",New York Stock Exchange,"12,021,124,926.02",17/03/1980,AFG,AFG,144.97
AMH.N,American Homes 4 Rent,New York Stock Exchange,"12,291,281,049.04",01/08/2013,AMH,AMH,34.16
AIG.N,"American International Group, Inc.",New York Stock Exchange,"40,247,087,217.93",08/10/1984,AIG,AIG,76.97
APEI.OQ,"American Public Education, Inc.",Nasdaq Stock Exchange Global Select Market,"842,053,993.43",09/11/2007,APEI,APEI,46.01
ARL.N,American Realty Investors Inc,New York Stock Exchange,"241,796,083.71",21/04/1982,ARL,ARL,14.97
AWR.N,American States Water Company,New York Stock Exchange,"3,560,468,283.58",17/03/1980,AWR,AWR,89.83
AMSC.OQ,American Superconductor Corp,Nasdaq Stock Exchange Global Select Market,"1,428,558,797.07",12/12/1991,AMSC,AMSC,29.49
AMT.N,American Tower Corporation,New York Stock Exchange,"81,883,159,235.04",05/06/1998,AMT,AMT,175.73
AVD.N,American Vanguard Corporation,New York Stock Exchange,"65,196,396.72",03/03/1987,AVD,AVD,2.21
AWK.N,"American Water Works Company, Inc.",New York Stock Exchange,"27,323,248,697.61",23/04/2008,AWK,AWK,137.49
AMP.N,Ameriprise Financial Inc,New York Stock Exchange,"49,491,335,941.32",15/09/2005,AMP,AMP,560.28
ABCB.N,Ameris Bancorp,New York Stock Exchange,"5,761,156,468.15",19/05/1994,ABCB,ABCB,85.85
AMSF.OQ,Amerisafe Inc,Nasdaq Stock Exchange Global Select Market,"487,312,964.82",18/11/2005,AMSF,AMSF,26.29
AME.N,AMETEK Inc,New York Stock Exchange,"56,214,857,028.80",01/07/1930,AME,AME,245.20
AMGN.OQ,Amgen Inc,Nasdaq Stock Exchange Global Select Market,"238,061,897,081.70",17/06/1983,AMGN,AMGN,440.34
AMKR.OQ,"Amkor Technology, Inc.",Nasdaq Stock Exchange Global Select Market,"12,025,099,644.80",01/05/1998,AMKR,AMKR,48.40
AMN.N,"AMN Healthcare Services, Inc.",New York Stock Exchange,"1,326,114,891.84",13/11/2001,AMN,AMN,34.24
AMRX.OQ,"Amneal Pharmaceuticals, Inc.",Nasdaq Stock Exchange Global Select Market,"6,265,845,345.83",18/11/2009,AMRX,AMRX,17.99
AP.N,Ampco-Pittsburgh Corp,New York Stock Exchange,"184,481,485.53",17/03/1980,AP,AP,8.93
AMPH.OQ,"Amphastar Pharmaceuticals, Inc.",Nasdaq Stock Exchange Global Select Market,"936,685,526.88",25/06/2014,AMPH,AMPH,22.02
APH.N,Amphenol Corp,New York Stock Exchange,"198,929,550,952.38",08/11/1991,APH,APH,161.34
AMPY.N,Amplify Energy Corp.,New York Stock Exchange,"189,870,541.00",12/07/2012,AMPY,AMPY,4.58
AXR.N,AMREP Corp,New York Stock Exchange,"122,737,769.45",17/03/1980,AXR,AXR,23.05
ASYS.OQ,Amtech Systems Inc,Nasdaq Stock Exchange Global Select Market,"265,597,892.17",09/08/1983,ASYS,ASYS,15.17
ADI.OQ,"Analog Devices, Inc.",Nasdaq Stock Exchange Global Select Market,"180,161,439,887.00",03/04/1979,ADI,ADI,371.80
AVXL.OQ,Anavex Life Sciences Corp,Nasdaq Stock Exchange Global Select Market,"300,337,768.08",13/04/2006,AVXL,AVXL,3.24
ANDE.OQ,Andersons Inc,Nasdaq Stock Exchange Global Select Market,"2,216,566,186.80",20/02/1996,ANDE,ANDE,65.24
ANGO.OQ,"AngioDynamics, Inc.",Nasdaq Stock Exchange Global Select Market,"648,505,183.41",27/05/2004,ANGO,ANGO,15.69
ANIK.OQ,Anika Therapeutics Inc,Nasdaq Stock Exchange Global Select Market,"290,142,702.88",16/05/1985,ANIK,ANIK,21.68
