date,GSPC,F,MSFT,ORCL,LLY,PG,IRX
2006-10-01,1377.93994140625,4.11606502532959,20.149656295776367,14.665075302124023,31.938919067382812,36.14745330810547,4.940000057220459
2006-11-01,1400.6300048828125,4.041499137878418,20.676301956176758,15.125593185424805,30.786396026611328,35.805320739746094,4.889999866485596
2006-12-01,1418.300048828125,3.7332923412323,21.028425216674805,13.609057426452637,29.930416107177734,36.649269104003906,4.885000228881836
2007-01-01,1438.239990234375,4.041499137878418,21.732662200927734,13.624943733215332,31.090871810913086,37.16868209838867,4.974999904632568
2007-02-01,1406.8199462890625,3.9321346282958984,19.90704917907715,13.045331001281738,30.449766159057617,36.37797164916992,4.994999885559082
2007-03-01,1420.8599853515625,3.9221928119659424,19.695053100585938,14.395119667053223,31.09824562072754,36.18889617919922,4.894999980926514
2007-04-01,1482.3699951171875,3.996760606765747,21.15787696838379,14.927093505859375,34.23643493652344,37.103145599365234,4.724999904632568
2007-05-01,1530.6199951171875,4.14589262008667,21.758134841918945,15.387615203857422,34.18864059448242,36.613433837890625,4.590000152587891
2007-06-01,1503.3499755859375,4.682771682739258,20.8931941986084,15.64963150024414,32.59060287475586,35.25373840332031,4.670000076293945
2007-07-01,1455.27001953125,4.230400562286377,20.552888870239258,15.181180953979492,31.546621322631836,35.839881896972656,4.809999942779541
2007-08-01,1473.989990234375,3.8824236392974854,20.439950942993164,16.102205276489258,33.69850540161133,37.838722229003906,3.990000009536743
2007-09-01,1526.75,4.220458030700684,20.95931625366211,17.18997573852539,33.45169448852539,40.752952575683594,3.700000047683716
2007-10-01,1549.3800048828125,4.409360885620117,26.188465118408203,17.602855682373047,31.81820297241211,40.4779167175293,3.819999933242798
2007-11-01,1481.1400146484375,3.7332923412323,23.983736038208008,16.022809982299805,31.36700439453125,43.086402893066406,3.069999933242798
2007-12-01,1468.3599853515625,3.3455464839935303,25.411346435546875,17.928394317626953,31.62763786315918,42.748687744140625,3.140000104904175
2008-01-01,1378.550048828125,3.3008058071136475,23.26994514465332,16.316585540771484,30.44288444519043,38.282936096191406,1.8700000047683716
2008-02-01,1330.6300048828125,3.246124029159546,19.4908504486084,14.927093505859375,29.90682029724121,38.7276725769043,1.784999966621399
2008-03-01,1322.699951171875,2.843465566635132,20.336406707763672,15.530529975891113,30.845518112182617,41.004051208496094,1.274999976158142
2008-04-01,1385.5899658203125,4.1061224937438965,20.436735153198242,16.554780960083008,28.78277015686035,39.4615478515625,1.340000033378601
2008-05-01,1400.3800048828125,3.3803439140319824,20.368127822875977,18.134836196899414,29.062908172607422,38.873008728027344,1.850000023841858
2008-06-01,1280,2.3910958766937256,19.785566329956055,16.67387580871582,27.867538452148438,35.789066314697266,1.7050000429153442
2008-07-01,1267.3800048828125,2.386124610900879,18.498170852661133,17.094696044921875,28.44107437133789,38.778587341308594,1.6349999904632568
2008-08-01,1282.8299560546875,2.2171082496643066,19.70562171936035,17.41229820251465,28.434717178344727,41.319217681884766,1.690000057220459
2008-09-01,1166.3599853515625,2.5849685668945312,19.272369384765625,16.126028060913086,26.837749481201172,41.271827697753906,0.8999999761581421
2008-10-01,968.75,1.0886701345443726,16.124088287353516,14.522157669067383,20.61441421508789,38.46628952026367,0.4350000023841858
2008-11-01,896.239990234375,1.3372246026992798,14.699400901794434,12.775371551513672,21.107595443725586,38.353057861328125,0.019999999552965164
2008-12-01,903.25,1.1383806467056274,14.132370948791504,14.077519416809082,24.890270233154297,36.84514236450195,0.11500000208616257
2009-01-01,825.8800048828125,0.9295943379402161,12.43124771118164,13.362921714782715,22.757875442504883,32.710201263427734,0.2199999988079071
2009-02-01,735.09002685546875,0.9942187666893005,11.821125984191895,12.33867073059082,18.40345001220703,28.911014556884766,0.25
2009-03-01,797.8699951171875,1.3073973655700684,13.446070671081543,14.347477912902832,20.927824020385742,28.2628116607666,0.20000000298023224
2009-04-01,872.80999755859375,2.9727132320404053,14.829477310180664,15.395757675170898,20.62087631225586,29.929603576660156,0.125
2009-05-01,919.1400146484375,2.8583779335021973,15.387720108032227,15.594775199890137,21.95408821105957,31.44305419921875,0.12999999523162842
2009-06-01,919.32000732421875,3.017453670501709,17.50914764404297,17.051563262939453,21.9985408782959,30.93454360961914,0.18000000715255737
2009-07-01,987.47998046875,3.976875066757202,17.32499122619629,17.659849166870117,22.15730857849121,33.872806549072266,0.17499999701976776
2009-08-01,1020.6199951171875,3.77803111076355,18.259450912475586,17.46035385131836,21.56298065185547,33.01852035522461,0.12999999523162842
2009-09-01,1057.0799560546875,3.5841588973999023,19.052047729492188,16.630428314208984,21.285860061645508,35.34341812133789,0.11500000208616257
2009-10-01,1036.18994140625,3.4797654151916504,20.540958404541016,16.878480911254883,21.917423248291016,35.66217041015625,0.04500000178813934
2009-11-01,1095.6300048828125,4.419302940368652,21.8817081451416,17.66240882873535,24.003297805786133,38.33684158325195,0.05000000074505806
2009-12-01,1115.0999755859375,4.97109317779541,22.67782211303711,19.622234344482422,23.336721420288086,37.27927017211914,0.05000000074505806
2010-01-01,1073.8699951171875,5.388666152954102,20.966562271118164,18.48360824584961,23.00343132019043,38.11666488647461,0.07000000029802322
